name	@lat	@lon	population
Paraguaçu Paulista	-22.4203497	-50.5792099	41120
Quatá	-22.2470977	-50.7003624	13163
João Ramalho	-22.2486157	-50.7677114	4371
Irapuru	-21.5691828	-51.3494606	7085
Mariápolis	-21.7966708	-51.1831475	3513
Caiabu	-22.0143038	-51.2356597	3712
Borá	-22.2703347	-50.5442675	907
Inúbia Paulista	-21.7701831	-50.9616718	3615
Osvaldo Cruz	-21.7962773	-50.8791190	31272
Adamantina	-21.6866517	-51.0762975	34687
Lucélia	-21.7211293	-51.0188000	20061
Pacaembu	-21.5662430	-51.2633114	14877
Flórida Paulista	-21.6140610	-51.1729548	12958
Pracinha	-21.8537103	-51.0862052	2578
Sagres	-21.8840628	-50.9574608	2474
Lavínia	-21.1665477	-51.0410539	9689
Valparaíso	-21.2230369	-50.8666375	24241
Bastos	-21.9222474	-50.7317727	21503
Parapuã	-21.7813090	-50.7922396	10580
Salmourão	-21.6250960	-50.8605656	4808
Murutinga do Sul	-20.9913722	-51.2782237	3737
Guaraçaí	-21.0322387	-51.2100464	7441
Mirandópolis	-21.1328313	-51.1029422	27983
Herculândia	-22.0045080	-50.3862746	9125
Arco-Íris	-21.7741308	-50.4668814	2044
Gabriel Monteiro	-21.5299436	-50.5533059	2763
Santópolis do Aguapeí	-21.6379556	-50.5008527	3899
Rinópolis	-21.7283080	-50.7226134	9259
Iacri	-21.8583385	-50.6892931	6131
Tupã	-21.9349129	-50.5141255	63928
Piacatu	-21.5901744	-50.5972241	5519
Birigui	-21.2908491	-50.3414400	118979
Bilac	-21.4039620	-50.4746400	7319
Castilho	-20.8695636	-51.4877792	19977
Araçatuba	-21.2079920	-50.4390225	200124
Bento de Abreu	-21.2715723	-50.8117225	2606
Clementina	-21.5594631	-50.4486240	6982
Rubiácea	-21.2996334	-50.7298698	2700
Ilha Solteira	-20.4281001	-51.3410871	25549
Nova Canaã Paulista	-20.3872473	-50.9481571	2032
Sud Mennucci	-20.6906175	-50.9240834	7355
Aparecida d'Oeste	-20.4498109	-50.8808706	4086
Pereira Barreto	-20.6378509	-51.1052172	24095
Suzanápolis	-20.5011185	-51.0246771	3408
Itapura	-20.6435211	-51.5084479	3979
Andradina	-20.8965050	-51.3742765	59783
Nova Castilho	-20.7638386	-50.3427479	1062
Guzolândia	-20.6491637	-50.6622974	4246
Dirce Reis	-20.4664067	-50.6062760	1620
Rubinéia	-20.1718325	-50.9995571	3833
Santa Clara d'Oeste	-20.0938889	-50.9263889	2598
Santa Fé do Sul	-20.2106188	-50.9270837	34794
Três Fronteiras	-20.2343550	-50.8905280	6804
Santa Salete	-20.2451795	-50.6889625	1645
São Francisco	-20.3604438	-50.6966030	2602
Santana da Ponte Pensa	-20.2543758	-50.7975649	1670
Palmeira d'Oeste	-20.4168187	-50.7621590	8903
Marinópolis	-20.4408333	-50.8227778	1860
